original_word	ner	m_ner
girls	B-PERX	O
!	O	O
”	O	O
said	O	O
she	B-PERX	O
,	O	O
when	O	O
the	O	O
door	O	O
was	O	O
shut	O	O
.	O	O
“	O	O
I	B-PERX	O
do	O	O
not	O	O
know	O	O
how	O	O
you	B-PERX	O
will	O	O
ever	O	O
make	O	O
him	B-PERX	O
amends	O	O
for	O	O
his	B-PERX	O
kindness	O	O
;	O	O
or	O	O
me	B-PERX	O
,	O	O
either	O	O
,	O	O
for	O	O
that	O	O
matter	O	O
.	O	O
At	O	O
our	B-PERX	O
time	O	O
of	O	O
life	O	O
it	O	O
is	O	O
not	O	O
so	O	O
pleasant	O	O
,	O	O
I	B-PERX	O
can	O	O
tell	O	O
you	B-PERX	O
,	O	O
to	O	O
be	O	O
making	O	O
new	B-PERX	O
acquaintances	I-PERX	O
every	O	O
day	O	O
;	O	O
but	O	O
for	O	O
your	B-PERX	O
sakes	O	O
,	O	O
we	B-PERX	O
would	O	O
do	O	O
anything	O	O
.	O	O
